SYMBOL_CODE,SYMBOL_NAME,TRADE_DATE,SECTOR_NAME,MARKET,HIGH_PRICE_52_WEEK,HIGH_PRICE_52_IND,LOW_PRICE_52_WEEK,LOW_PRICE_52_IND,DAYS_HIGH_PRICE,DAYS_LOW_PRICE,CLOSE_PRICE,CLOSE_NET_CHANGE,CLOSE_PERCENT_CHANGE,LAST_TRADED_PRICE,BID_PRICE,ASK_PRICE,TOTAL_TRADED_VOLUME,TRADE_VALUE,NUM_OF_TRADES,MARKET_CAP,TOTALISSUEDSHARES,PRE_DIVIDEND_AMOUNT,PRE_DIV_CURR,DIVIDEND_AMOUNT,DIV_CURR
CPJ,Caribbean Producers Jamaica Limited,10/27/2017,RETAIL,Junior Market,4.830000,,3.000000,,3.740000,3.710000,3.730000,0.030000,0.810811,3.710000,3.710000,3.790000,69888.000000,260784.480000,3,1100000000.000000,4103000000.000000,0.060000,JMD,,JMD
GENAC,General Accident Insurance Company (JA) Limited,10/27/2017,INSURANCE,Junior Market,4.500000,,1.480000,,3.200000,3.100000,3.110000,0.010000,0.322581,3.200000,3.050000,3.100000,16450.000000,51160.000000,4,1031250000.000000,3207187500.000000,0.169700,JMD,0.193940,JMD
MUSIC,C2W Music Limited,10/27/2017,OTHER,Junior Market,0.550000,,0.230000,,0.420000,0.420000,0.420000,-0.070000,-14.285714,0.420000,0.280000,0.420000,350.000000,147.000000,1,400000000.000000,168000000.000000,,,,
KLE,K.L.E. Group Limited,10/27/2017,OTHER,Junior Market,3.650000,,1.130000,,0.000000,0.000000,2.770000,0.000000,0.000000,2.800000,2.500000,2.800000,0.000000,0.000000,0,100000000.000000,277000000.000000,,,,
PURITY,Consolidated Bakeries (Jamaica) Limited,10/27/2017,MANUFACTURING,Junior Market,4.500000,,1.700000,,0.000000,0.000000,2.810000,0.000000,0.000000,2.810000,2.360000,2.600000,0.000000,0.000000,0,222709171.000000,625812770.510000,,,,
PTL,Paramount Trading (Jamaica) Limited,10/27/2017,MANUFACTURING,Junior Market,4.700000,,2.200000,,3.000000,2.900000,2.910000,-0.080000,-2.675585,2.900000,2.900000,3.000000,124400.000000,361786.800000,5,1542467080.000000,4488579202.800000,,,,
KREMI,Caribbean Cream Limited,10/27/2017,MANUFACTURING,Junior Market,8.590000,,5.000000,,5.860000,5.800000,5.820000,-0.080000,-1.355932,5.800000,5.800000,5.900000,3332.000000,19392.600000,5,378568115.000000,2203266429.300000,,,0.060000,
JSE,Jamaica Stock Exchange,10/27/2017,FINANCE,Main Market,13.500000,,4.800000,,6.960000,6.450000,6.550000,0.050000,0.769231,6.450000,6.200000,6.450000,9838.000000,64436.600000,3,701250000.000000,4593187500.000000,0.659600,JMD,0.035600,JMD
EPLY,Eppley Limited,10/27/2017,FINANCE,Junior Market,13.000000,,10.010000,,0.000000,0.000000,11.600000,0.000000,0.000000,11.600000,11.000000,11.600000,0.000000,0.000000,0,192468300.000000,2232632280.000000,63.629300,JMD,0.334400,JMD
JMMB7.25,Jamaica Money Market Brokers Ltd 7.25%,10/27/2017,FINANCE,Main Market,2.510000,,2.350000,,0.000000,0.000000,2.500000,0.000000,0.000000,2.500000,0.000000,2.500000,0.000000,0.000000,0,15358000.000000,38395000.000000,0.193700,JMD,0.256900,JMD
